lon,lat,temp,datetime,glwd_id,doy,date,mod,depth,year,decyear,lake
,,26.3,"",,156,1984-06-04,,0.01,1984,1984.42349726776,Annie
,,26.7,"",,163,1984-06-11,,0.01,1984,1984.44262295082,Annie
,,26.5,"",,179,1984-06-27,,0.01,1984,1984.48633879781,Annie
,,26,"",,184,1984-07-02,,0.01,1984,1984.5,Annie
,,25.3,"",,191,1984-07-09,,0.01,1984,1984.51912568306,Annie
,,24.2,"",,198,1984-07-16,,0.01,1984,1984.53825136612,Annie
,,23,"",,205,1984-07-23,,0.01,1984,1984.55737704918,Annie
,,29.77,"",,219,1984-08-06,,0.01,1984,1984.5956284153,Annie
,,30.06,"",,226,1984-08-13,,0.01,1984,1984.61475409836,Annie
,,29.65,"",,233,1984-08-20,,0.01,1984,1984.63387978142,Annie
,,28.69,"",,240,1984-08-27,,0.01,1984,1984.65300546448,Annie
,,29.9,"",,189,1985-07-08,,0.01,1985,1985.51506849315,Annie
,,29.3,"",,214,1985-08-02,,0.01,1985,1985.58356164384,Annie
,,28.9,"",,162,1986-06-11,,0.01,1986,1986.44109589041,Annie
,,29.7,"",,197,1986-07-16,,0.01,1986,1986.53698630137,Annie
,,29.4,"",,229,1986-08-17,,0.01,1986,1986.62465753425,Annie
,,28.11,"",,161,1987-06-10,,0.01,1987,1987.43835616438,Annie
,,29.87,"",,197,1987-07-16,,0.01,1987,1987.53698630137,Annie
,,29.59,"",,227,1987-08-15,,0.01,1987,1987.61917808219,Annie
,,27.37,"",,167,1988-06-15,,0.01,1988,1988.45355191257,Annie
,,29.3,"",,234,1988-08-21,,0.01,1988,1988.63661202186,Annie
,,28.86,"",,165,1989-06-14,,0.01,1989,1989.44931506849,Annie
,,29.8,"",,200,1989-07-19,,0.01,1989,1989.54520547945,Annie
,,30.25,"",,224,1989-08-12,,0.01,1989,1989.61095890411,Annie
,,28.93,"",,164,1990-06-13,,0.01,1990,1990.44657534247,Annie
,,28.81,"",,199,1990-07-18,,0.01,1990,1990.54246575342,Annie
,,27.95,"",,163,1991-06-12,,0.01,1991,1991.44383561644,Annie
,,29.47,"",,198,1991-07-17,,0.01,1991,1991.5397260274,Annie
,,29.08,"",,169,1992-06-17,,0.01,1992,1992.45901639344,Annie
,,30.7,"",,190,1992-07-08,,0.01,1992,1992.51639344262,Annie
,,30,"",,188,1993-07-07,,0.01,1993,1993.51232876712,Annie
,,30.1,"",,230,1993-08-18,,0.01,1993,1993.62739726027,Annie
,,29.15,"",,187,1994-07-06,,0.01,1994,1994.5095890411,Annie
,,28.6,"",,229,1994-08-17,,0.01,1994,1994.62465753425,Annie
,,28.64,"",,158,1995-06-07,,0.01,1995,1995.4301369863,Annie
,,30.88,"",,186,1995-07-05,,0.01,1995,1995.50684931507,Annie
,,31.02,"",,228,1995-08-16,,0.01,1995,1995.62191780822,Annie
,,27.06,"",,156,1996-06-04,,0.01,1996,1996.42349726776,Annie
,,29.03,"",,241,1996-08-28,,0.01,1996,1996.65573770492,Annie
,,28.81,"",,169,1997-06-18,,0.01,1997,1997.4602739726,Annie
,,29.88,"",,196,1997-07-15,,0.01,1997,1997.53424657534,Annie
,,31.25,"",,168,1998-06-17,,0.01,1998,1998.45753424658,Annie
,,29.25,"",,196,1998-07-15,,0.01,1998,1998.53424657534,Annie
,,31.35,"",,231,1998-08-19,,0.01,1998,1998.6301369863,Annie
,,28.9,"",,167,1999-06-16,,0.01,1999,1999.45479452055,Annie
,,30.38,"",,195,1999-07-14,,0.01,1999,1999.53150684932,Annie
,,29.72,"",,230,1999-08-18,,0.01,1999,1999.62739726027,Annie
,,28.65,"",,166,2000-06-14,,0.01,2000,2000.45081967213,Annie
,,29.91,"",,193,2000-07-11,,0.01,2000,2000.52459016393,Annie
,,29.58,"",,229,2000-08-16,,0.01,2000,2000.62295081967,Annie
,,29.61,"",,163,2001-06-12,,0.01,2001,2001.44383561644,Annie
,,29.53,"",,184,2001-07-03,,0.01,2001,2001.50136986301,Annie
,,30.38,"",,234,2001-08-22,,0.01,2001,2001.63835616438,Annie
,,28.27,"",,163,2002-06-12,,0.01,2002,2002.44383561644,Annie
,,28.22,"",,183,2002-07-02,,0.01,2002,2002.49863013699,Annie
,,28.65,"",,226,2002-08-14,,0.01,2002,2002.61643835616,Annie
,,29.59,"",,163,2003-06-12,,0.01,2003,2003.44383561644,Annie
,,29.58,"",,188,2003-07-07,,0.01,2003,2003.51232876712,Annie
,,28.51,"",,225,2003-08-13,,0.01,2003,2003.61369863014,Annie
,,29.8,"",,168,2004-06-16,,0.01,2004,2004.45628415301,Annie
,,30.1,"",,187,2004-07-05,,0.01,2004,2004.50819672131,Annie
