lon,lat,temp,datetime,glwd_id,doy,date,mod,depth,year,decyear,lake
,,0.4,,,36,1941-02-05,,0,1941,,Mendota
,,0.4,,,36,1941-02-05,,5,1941,,Mendota
,,0.4,,,36,1941-02-05,,10,1941,,Mendota
,,0.8,,,36,1941-02-05,,15,1941,,Mendota
,,1.4,,,36,1941-02-05,,20,1941,,Mendota
,,1.8,,,36,1941-02-05,,22,1941,,Mendota
,,2.2,,,36,1941-02-05,,24,1941,,Mendota
,,0,,,87,1941-03-28,,0,1941,,Mendota
,,1.3,,,87,1941-03-28,,5,1941,,Mendota
,,1.4,,,87,1941-03-28,,10,1941,,Mendota
,,1.4,,,87,1941-03-28,,15,1941,,Mendota
,,2.1,,,87,1941-03-28,,20,1941,,Mendota
,,2.4,,,87,1941-03-28,,22,1941,,Mendota
,,3,,,87,1941-03-28,,24,1941,,Mendota
,,3.1,,,87,1941-03-28,,25,1941,,Mendota
,,13.6,,,124,1941-05-04,,0,1941,,Mendota
,,12.3,,,124,1941-05-04,,2,1941,,Mendota
,,10.6,,,124,1941-05-04,,3,1941,,Mendota
,,9.6,,,124,1941-05-04,,4,1941,,Mendota
,,7.9,,,124,1941-05-04,,5,1941,,Mendota
,,6.5,,,124,1941-05-04,,10,1941,,Mendota
,,6.1,,,124,1941-05-04,,15,1941,,Mendota
,,5.8,,,124,1941-05-04,,20,1941,,Mendota
,,5.8,,,124,1941-05-04,,22,1941,,Mendota
,,17.2,,,165,1941-06-14,,0,1941,,Mendota
,,17.2,,,165,1941-06-14,,5,1941,,Mendota
,,17,,,165,1941-06-14,,10,1941,,Mendota
,,15.7,,,165,1941-06-14,,11,1941,,Mendota
,,11.7,,,165,1941-06-14,,12,1941,,Mendota
,,10.4,,,165,1941-06-14,,13,1941,,Mendota
,,9.4,,,165,1941-06-14,,14,1941,,Mendota
,,9.2,,,165,1941-06-14,,15,1941,,Mendota
,,7.8,,,165,1941-06-14,,20,1941,,Mendota
,,7.6,,,165,1941-06-14,,22,1941,,Mendota
,,24.3,,,197,1941-07-16,,0,1941,,Mendota
,,23.3,,,197,1941-07-16,,1,1941,,Mendota
,,23.1,,,197,1941-07-16,,2,1941,,Mendota
,,23.1,,,197,1941-07-16,,3,1941,,Mendota
,,23.1,,,197,1941-07-16,,4,1941,,Mendota
,,23,,,197,1941-07-16,,5,1941,,Mendota
,,22.9,,,197,1941-07-16,,6,1941,,Mendota
,,22.9,,,197,1941-07-16,,7,1941,,Mendota
,,18.4,,,197,1941-07-16,,8,1941,,Mendota
,,16.4,,,197,1941-07-16,,9,1941,,Mendota
,,15.3,,,197,1941-07-16,,10,1941,,Mendota
,,13.6,,,197,1941-07-16,,11,1941,,Mendota
,,11.8,,,197,1941-07-16,,12,1941,,Mendota
,,11.3,,,197,1941-07-16,,13,1941,,Mendota
,,10.4,,,197,1941-07-16,,14,1941,,Mendota
,,9.7,,,197,1941-07-16,,15,1941,,Mendota
,,9.3,,,197,1941-07-16,,16,1941,,Mendota
,,9,,,197,1941-07-16,,17,1941,,Mendota
,,27.9,,,210,1941-07-29,,0,1941,,Mendota
,,26.8,,,210,1941-07-29,,1,1941,,Mendota
,,25.3,,,210,1941-07-29,,2,1941,,Mendota
,,23.2,,,210,1941-07-29,,3,1941,,Mendota
,,22.2,,,210,1941-07-29,,4,1941,,Mendota
,,21.9,,,210,1941-07-29,,5,1941,,Mendota
,,21.9,,,210,1941-07-29,,6,1941,,Mendota
,,21.7,,,210,1941-07-29,,7,1941,,Mendota
,,20.2,,,210,1941-07-29,,8,1941,,Mendota
,,17.8,,,210,1941-07-29,,9,1941,,Mendota
,,16.9,,,210,1941-07-29,,10,1941,,Mendota
,,15.8,,,210,1941-07-29,,11,1941,,Mendota
,,15,,,210,1941-07-29,,12,1941,,Mendota
,,13.9,,,210,1941-07-29,,13,1941,,Mendota
,,12.9,,,210,1941-07-29,,14,1941,,Mendota
,,10.3,,,210,1941-07-29,,15,1941,,Mendota
,,9.8,,,210,1941-07-29,,16,1941,,Mendota
,,9.4,,,210,1941-07-29,,17,1941,,Mendota
,,29,,,221,1941-08-09,,0,1941,,Mendota
,,27.1,,,221,1941-08-09,,1,1941,,Mendota
,,26.7,,,221,1941-08-09,,2,1941,,Mendota
,,26.4,,,221,1941-08-09,,3,1941,,Mendota
,,26.4,,,221,1941-08-09,,4,1941,,Mendota
,,26.4,,,221,1941-08-09,,5,1941,,Mendota
,,26.2,,,221,1941-08-09,,6,1941,,Mendota
,,21.3,,,221,1941-08-09,,7,1941,,Mendota
,,20.3,,,221,1941-08-09,,8,1941,,Mendota
,,19.8,,,221,1941-08-09,,9,1941,,Mendota
,,18,,,221,1941-08-09,,10,1941,,Mendota
,,16.4,,,221,1941-08-09,,11,1941,,Mendota
,,14.8,,,221,1941-08-09,,12,1941,,Mendota
,,14,,,221,1941-08-09,,13,1941,,Mendota
,,12.7,,,221,1941-08-09,,14,1941,,Mendota
,,11.8,,,221,1941-08-09,,15,1941,,Mendota
,,10.5,,,221,1941-08-09,,16,1941,,Mendota
,,10.3,,,221,1941-08-09,,17,1941,,Mendota
,,21.8,,,241,1941-08-29,,0,1941,,Mendota
,,21.6,,,241,1941-08-29,,1,1941,,Mendota
,,21.6,,,241,1941-08-29,,2,1941,,Mendota
